Gene stable ID	Gene stable ID version	Gene name	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSG00000178573	ENSG00000178573.7	MAF	79585843	79600737	16
ENSG00000198429	ENSG00000198429.11	ZNF69	11887782	11914329	19
ENSG00000265303	ENSG00000265303.1		59197566	59215226	17
ENSG00000185924	ENSG00000185924.7	RTN4RL1	1934677	2025334	17
ENSG00000108963	ENSG00000108963.19	DPH1	2030137	2043898	17
ENSG00000168925	ENSG00000168925.12	CTRB1	75218988	75226338	16
ENSG00000213886	ENSG00000213886.5	UBD	29555515	29559732	6
ENSG00000196684	ENSG00000196684.13	HSH2D	16134028	16158575	19
ENSG00000137265	ENSG00000137265.17	IRF4	391739	411443	6
ENSG00000038002	ENSG00000038002.10	AGA	177430774	177442444	4
ENSG00000179304	ENSG00000179304.19	FAM156B	52891306	52908560	X
ENSG00000176692	ENSG00000176692.8	FOXC2	86566829	86569728	16
ENSG00000205078	ENSG00000205078.6	SYCE1L	77199408	77213215	16
ENSG00000206301	ENSG00000206301.9	HLA-DQA2	4040716	4046584	HSCHR6_MHC_MCF_CTG1
ENSG00000228254	ENSG00000228254.9	HLA-DQB2	4055473	4062912	HSCHR6_MHC_MCF_CTG1
ENSG00000241910	ENSG00000241910.5	HLA-DOB	4111856	4116141	HSCHR6_MHC_MCF_CTG1
ENSG00000103111	ENSG00000103111.15	MON1B	77190835	77202398	16
ENSG00000075539	ENSG00000075539.16	FRYL	48497357	48780322	4
ENSG00000198721	ENSG00000198721.14	ECI2	4115685	4135597	6
ENSG00000105171	ENSG00000105171.11	POP4	29606283	29617237	19
ENSG00000165682	ENSG00000165682.16	CLEC1B	9985642	10013424	12
ENSG00000237599	ENSG00000237599.9	TAP2	4120921	4137847	HSCHR6_MHC_MCF_CTG1
ENSG00000128617	ENSG00000128617.3	OPN1SW	128772485	128775794	7
ENSG00000133134	ENSG00000133134.13	BEX2	103309345	103311298	X
ENSG00000286192	ENSG00000286192.1		1815804	2242215	7
ENSG00000122543	ENSG00000122543.11	OCM	5879827	5886363	7
ENSG00000262664	ENSG00000262664.3	OVCA2	2042022	2043425	17
ENSG00000178917	ENSG00000178917.19	ZNF852	44491766	44510636	3
ENSG00000179941	ENSG00000179941.10	BBS10	76344474	76348437	12
ENSG00000184939	ENSG00000184939.16	ZFP90	68530090	68576072	16
ENSG00000184515	ENSG00000184515.12	BEX5	102153464	102156017	X
ENSG00000254959	ENSG00000254959.6	INMT-MINDY4	30752137	30892081	7
ENSG00000145708	ENSG00000145708.12	CRHBP	76953044	76981158	5
ENSG00000264813	ENSG00000264813.6		63484823	63521848	17
ENSG00000250424	ENSG00000250424.4		30852273	30923812	7
ENSG00000172969	ENSG00000172969.8	FRG2C	75664328	75667220	3
ENSG00000236398	ENSG00000236398.2	TAS2R39	143183419	143184435	7
ENSG00000151490	ENSG00000151490.16	PTPRO	15322257	15602175	12
ENSG00000221937	ENSG00000221937.4	TAS2R40	143222037	143223079	7
ENSG00000077264	ENSG00000077264.18	PAK3	110944285	111227361	X
ENSG00000185899	ENSG00000185899.1	TAS2R60	143443453	143444409	7
ENSG00000221855	ENSG00000221855.1	TAS2R41	143477873	143478796	7
ENSG00000142534	ENSG00000142534.8	RPS11	49496365	49499708	19
ENSG00000171316	ENSG00000171316.15	CHD7	60678740	60868028	8
ENSG00000186834	ENSG00000186834.4	HEXIM1	45148475	45152099	17
ENSG00000271079	ENSG00000271079.1	CTAGE15	143571801	143574387	7
ENSG00000141748	ENSG00000141748.13	ARL5C	39156894	39167484	17
ENSG00000283528	ENSG00000283528.2	TCAF2C	143639230	143647646	7
ENSG00000288640	ENSG00000288640.1		112450460	112490941	7
ENSG00000106682	ENSG00000106682.16	EIF4H	74174231	74197122	7
ENSG00000178150	ENSG00000178150.11	ZNF114	48270041	48287743	19
ENSG00000137745	ENSG00000137745.14	MMP13	102942995	102955732	11
ENSG00000226201	ENSG00000226201.6	PSMB8	4139786	4143772	HSCHR6_MHC_MCF_CTG1
ENSG00000145692	ENSG00000145692.16	BHMT	79111807	79132289	5
ENSG00000181222	ENSG00000181222.19	POLR2A	7484366	7514616	17
ENSG00000169126	ENSG00000169126.17	ODAD2	27775186	27999532	10
ENSG00000197372	ENSG00000197372.11	ZNF675	23525631	23687220	19
ENSG00000167741	ENSG00000167741.11	GGT6	4556927	4560818	17
ENSG00000189143	ENSG00000189143.10	CLDN4	73799542	73832690	7
ENSG00000140948	ENSG00000140948.13	ZCCHC14	87406246	87493024	16
ENSG00000258083	ENSG00000258083.2	OR9A4	141916399	141920625	7
ENSG00000213215	ENSG00000213215.5	OR2F1	143954844	143997312	7
ENSG00000160877	ENSG00000160877.8	NACC1	13116468	13141147	19
ENSG00000161905	ENSG00000161905.13	ALOX15	4630919	4642294	17
ENSG00000240508	ENSG00000240508.7	PSMB9	4143205	4178620	HSCHR6_MHC_MCF_CTG1
ENSG00000240720	ENSG00000240720.10	LRRD1	92141643	92179531	7
ENSG00000146776	ENSG00000146776.15	ATXN7L1	105604772	105876599	7
ENSG00000160229	ENSG00000160229.14	ZNF66	20776304	20810361	19
ENSG00000129167	ENSG00000129167.12	TPH1	18017555	18046269	11
ENSG00000206408	ENSG00000206408.8	GPANK1	2917047	2922107	HSCHR6_MHC_QBL_CTG1
ENSG00000038274	ENSG00000038274.19	MAT2B	163503114	163519558	5
ENSG00000168476	ENSG00000168476.13	REEP4	22138019	22141951	8
ENSG00000130255	ENSG00000130255.14	RPL36	5674947	5691881	19
ENSG00000154118	ENSG00000154118.13	JPH3	87601835	87698156	16
ENSG00000230705	ENSG00000230705.4	TAP1	4144278	4153047	HSCHR6_MHC_MCF_CTG1
ENSG00000182853	ENSG00000182853.12	VMO1	4785285	4786433	17
ENSG00000134569	ENSG00000134569.11	LRP4	46856717	46918642	11
ENSG00000166143	ENSG00000166143.11	PPP1R14D	40815446	40829391	15
ENSG00000182327	ENSG00000182327.8	GLTPD2	4788964	4790589	17
ENSG00000286221	ENSG00000286221.1		80828736	81006894	16
ENSG00000108556	ENSG00000108556.10	CHRNE	4897771	4934438	17
ENSG00000243789	ENSG00000243789.12	JMJD7	41828092	41837585	15
ENSG00000055609	ENSG00000055609.21	KMT2C	152134922	152436644	7
ENSG00000206380	ENSG00000206380.11	SNHG32	3090448	3095602	HSCHR6_MHC_QBL_CTG1
ENSG00000158480	ENSG00000158480.12	SPATA2	49903391	49915550	20
ENSG00000006210	ENSG00000006210.7	CX3CL1	57372477	57385044	16
ENSG00000108786	ENSG00000108786.11	HSD17B1	42552922	42555214	17
ENSG00000100490	ENSG00000100490.11	CDKL1	50326265	50416461	14
ENSG00000242386	ENSG00000242386.8	HLA-DMB	4233672	4252170	HSCHR6_MHC_MCF_CTG1
ENSG00000101464	ENSG00000101464.12	PIGU	34560542	34698790	20
ENSG00000140836	ENSG00000140836.17	ZFHX3	72782885	73891871	16
ENSG00000167680	ENSG00000167680.19	SEMA6B	4542588	4581784	19
ENSG00000068120	ENSG00000068120.15	COASY	42561467	42566277	17
ENSG00000164096	ENSG00000164096.14	ARLN	119296419	119304445	4
ENSG00000184277	ENSG00000184277.14	TM2D3	101621444	101652391	15
ENSG00000239463	ENSG00000239463.7	HLA-DMA	4247658	4269773	HSCHR6_MHC_MCF_CTG1
ENSG00000063978	ENSG00000063978.18	RNF4	2462220	2515859	4
ENSG00000186468	ENSG00000186468.14	RPS23	82273320	82278414	5
ENSG00000109846	ENSG00000109846.10	CRYAB	111908564	111923722	11
ENSG00000236227	ENSG00000236227.8	BRD2	4267717	4278255	HSCHR6_MHC_MCF_CTG1
ENSG00000140873	ENSG00000140873.16	ADAMTS18	77247813	77435034	16
ENSG00000213983	ENSG00000213983.13	AP1G2	23559557	23568070	14
ENSG00000070193	ENSG00000070193.6	FGF10	44300247	44389977	5
ENSG00000131470	ENSG00000131470.15	PSMC3IP	42572310	42577831	17
ENSG00000206476	ENSG00000206476.15	VARS2	2169371	2181636	HSCHR6_MHC_QBL_CTG1
ENSG00000172201	ENSG00000172201.13	ID4	19837366	19842197	6
ENSG00000175449	ENSG00000175449.16	RFESD	95646718	95684773	5
ENSG00000163424	ENSG00000163424.9	TEX55	119146151	119160042	3
ENSG00000095787	ENSG00000095787.27	WAC	28532493	28623112	10
ENSG00000204673	ENSG00000204673.12	AKT1S1	49869033	49879470	19
ENSG00000124568	ENSG00000124568.13	SLC17A1	25781532	25832052	6
ENSG00000140319	ENSG00000140319.12	SRP14	40035690	40039181	15
ENSG00000101310	ENSG00000101310.18	SEC23B	18507520	18561415	20
ENSG00000251012	ENSG00000251012.2		119147375	119187807	3
ENSG00000103241	ENSG00000103241.7	FOXF1	86510527	86515422	16
ENSG00000239282	ENSG00000239282.9	CASTOR1	30285114	30289694	22
ENSG00000287694	ENSG00000287694.1		76277288	76819624	16
ENSG00000275342	ENSG00000275342.7	PRAG1	8317736	8387357	8
ENSG00000183793	ENSG00000183793.14	NPIPA5	15363628	15381047	16
ENSG00000176928	ENSG00000176928.8	GCNT4	75025346	75054224	5
ENSG00000147687	ENSG00000147687.20	TATDN1	124488485	124539458	8
ENSG00000230141	ENSG00000230141.11	HLA-DOA	4303233	4308667	HSCHR6_MHC_MCF_CTG1
ENSG00000133800	ENSG00000133800.10	LYVE1	10556966	10611689	11
ENSG00000145808	ENSG00000145808.11	ADAMTS19	129459686	129738683	5
ENSG00000166426	ENSG00000166426.9	CRABP1	78340260	78348250	15
ENSG00000213937	ENSG00000213937.4	CLDN9	3012923	3014505	16
ENSG00000168384	ENSG00000168384.11	HLA-DPA1	4363634	4379828	HSCHR6_MHC_MCF_CTG1
ENSG00000184999	ENSG00000184999.14	SLC22A10	63268022	63311874	11
ENSG00000130182	ENSG00000130182.8	ZSCAN10	3088890	3099295	16
ENSG00000087842	ENSG00000087842.12	PIR	15384799	15493635	X
ENSG00000140451	ENSG00000140451.14	PIF1	64815629	64825677	15
ENSG00000230763	ENSG00000230763.11	HLA-DPB1	4374973	4386238	HSCHR6_MHC_MCF_CTG1
ENSG00000170448	ENSG00000170448.13	NFXL1	47847233	47914667	4
ENSG00000180210	ENSG00000180210.16	F2	46719166	46739822	11
ENSG00000243955	ENSG00000243955.7	GSTA1	52791371	52803881	6
ENSG00000168158	ENSG00000168158.4	OR2C1	3355889	3357306	16
ENSG00000285329	ENSG00000285329.1		3365099	3479550	16
ENSG00000128284	ENSG00000128284.22	APOL3	36139792	36166177	22
ENSG00000167981	ENSG00000167981.7	ZNF597	3432414	3443504	16
ENSG00000089558	ENSG00000089558.9	KCNH4	42156891	42181142	17
ENSG00000215131	ENSG00000215131.11	C16orf90	3493484	3495489	16
ENSG00000203623	ENSG00000203623.4	C6orf47	2914116	2916590	HSCHR6_MHC_QBL_CTG1
ENSG00000206353	ENSG00000206353.11	SKIC2	3215050	3225721	HSCHR6_MHC_QBL_CTG1
ENSG00000103426	ENSG00000103426.12	CORO7-PAM16	4340251	4420494	16
ENSG00000161610	ENSG00000161610.1	HCRT	42184060	42185452	17
ENSG00000235708	ENSG00000235708.8	COL11A2	4598639	4628455	HSCHR6_MHC_MCF_CTG1
ENSG00000184544	ENSG00000184544.12	DHRS7C	9771434	9791592	17
ENSG00000164284	ENSG00000164284.16	GRPEL2	149345430	149354583	5
ENSG00000108684	ENSG00000108684.15	ASIC2	33013087	34174964	17
ENSG00000256087	ENSG00000256087.8	ZNF432	52031378	52095738	19
ENSG00000281991	ENSG00000281991.2	TMEM265	30740642	30745196	16
ENSG00000113719	ENSG00000113719.18	ERGIC1	172834251	172952792	5
ENSG00000175938	ENSG00000175938.7	ORAI3	30949068	30956461	16
ENSG00000255439	ENSG00000255439.6		31083439	31094956	16
ENSG00000064545	ENSG00000064545.16	TMEM161A	19119169	19138513	19
ENSG00000146250	ENSG00000146250.8	PRSS35	83512508	83525704	6
ENSG00000103510	ENSG00000103510.20	KAT8	31114489	31131393	16
ENSG00000198670	ENSG00000198670.14	LPA	160531482	160664275	6
ENSG00000137135	ENSG00000137135.19	ARHGEF39	35658875	35675866	9
ENSG00000184361	ENSG00000184361.13	SPATA32	45254393	45262094	17
ENSG00000206329	ENSG00000206329.15	PPT2	3376635	3386881	HSCHR6_MHC_QBL_CTG1
ENSG00000167916	ENSG00000167916.5	KRT24	40697991	40703752	17
ENSG00000100345	ENSG00000100345.24	MYH9	36281279	36388010	22
ENSG00000232629	ENSG00000232629.10	HLA-DQB2	32756094	32763543	6
ENSG00000204897	ENSG00000204897.7	KRT25	40748021	40755331	17
ENSG00000171446	ENSG00000171446.7	KRT27	40776808	40782550	17
ENSG00000112697	ENSG00000112697.18	TMEM30A	75252924	75284948	6
ENSG00000146678	ENSG00000146678.10	IGFBP1	45888360	45893660	7
ENSG00000173908	ENSG00000173908.9	KRT28	40792196	40799959	17
ENSG00000160447	ENSG00000160447.8	PKN3	128702499	128720924	9
ENSG00000068400	ENSG00000068400.15	GRIPAP1	48973719	49002265	X
ENSG00000186395	ENSG00000186395.9	KRT10	40818117	40822614	17
ENSG00000103490	ENSG00000103490.14	PYCARD	31201486	31203450	16
ENSG00000176018	ENSG00000176018.14	LYSMD3	90515611	90529596	5
ENSG00000187242	ENSG00000187242.6	KRT12	40861303	40867223	17
ENSG00000103310	ENSG00000103310.11	ZP2	21197450	21214510	16
ENSG00000164610	ENSG00000164610.10	RP9	33094797	33109405	7
ENSG00000108244	ENSG00000108244.17	KRT23	40922700	40937646	17
ENSG00000205085	ENSG00000205085.13	GARIN1A	128671693	128687877	7
ENSG00000091010	ENSG00000091010.7	POU4F3	146338648	146341728	5
ENSG00000177556	ENSG00000177556.13	ATOX1	151738084	151772532	5
ENSG00000187416	ENSG00000187416.13	LHFPL3	104328603	104908561	7
ENSG00000235712	ENSG00000235712.10	RXRB	4629544	4636641	HSCHR6_MHC_MCF_CTG1
ENSG00000175311	ENSG00000175311.7	ANKS4B	21233699	21253850	16
ENSG00000259384	ENSG00000259384.7	GH1	63917200	63918839	17
ENSG00000145782	ENSG00000145782.14	ATG12	115828200	115841837	5
ENSG00000244067	ENSG00000244067.4	GSTA2	52747975	52763525	6
ENSG00000254469	ENSG00000254469.12	XNDC1N	71865504	71928654	11
ENSG00000221813	ENSG00000221813.4	OR6B1	144000320	144008793	7
ENSG00000244444	ENSG00000244444.6	EGFL8	3387784	3391482	HSCHR6_MHC_QBL_CTG1
ENSG00000135437	ENSG00000135437.11	RDH5	55720367	55724710	12
ENSG00000109133	ENSG00000109133.15	TMEM33	41934403	41960803	4
ENSG00000146618	ENSG00000146618.3	FERD3L	19144782	19145421	7
ENSG00000102891	ENSG00000102891.4	MT4	56565073	56568957	16
ENSG00000212807	ENSG00000212807.3	OR2A42	144228244	144239605	7
ENSG00000243896	ENSG00000243896.4	OR2A7	144257663	144264792	7
ENSG00000169715	ENSG00000169715.15	MT1E	56625475	56627112	16
ENSG00000221970	ENSG00000221970.4	OR2A1	144312419	144322737	7
ENSG00000221836	ENSG00000221836.4	OR2A5	144048948	144058845	7
ENSG00000221933	ENSG00000221933.3	OR2A25	144069811	144075870	7
ENSG00000157613	ENSG00000157613.12	CREB3L1	46277637	46321422	11
ENSG00000221858	ENSG00000221858.3	OR2A12	144086278	144098953	7
ENSG00000285947	ENSG00000285947.1		63917203	63931385	17
ENSG00000133874	ENSG00000133874.3	RNF122	33547754	33567170	8
ENSG00000221938	ENSG00000221938.5	OR2A14	144123176	144131188	7
ENSG00000111011	ENSG00000111011.19	RSRC2	122503454	122527100	12
ENSG00000007314	ENSG00000007314.12	SCN4A	63938554	63972918	17
ENSG00000169688	ENSG00000169688.11	MT1B	56651886	56653204	16
ENSG00000224399	ENSG00000224399.11	SLC39A7	4636398	4640392	HSCHR6_MHC_MCF_CTG1
ENSG00000137204	ENSG00000137204.16	SLC22A7	43295694	43305543	6
ENSG00000184863	ENSG00000184863.11	RBM33	155644451	155781485	7
ENSG00000090932	ENSG00000090932.12	DLL3	39498895	39508481	19
ENSG00000078295	ENSG00000078295.18	ADCY2	7395681	7830081	5
ENSG00000173503	ENSG00000173503.12	LTA	2827871	2830143	HSCHR6_MHC_QBL_CTG1
ENSG00000152234	ENSG00000152234.17	ATP5F1A	46080248	46104334	18
ENSG00000188322	ENSG00000188322.8	SBK1	28259246	28323849	16
ENSG00000275591	ENSG00000275591.6	XKR5	6805013	6835526	8
ENSG00000149742	ENSG00000149742.11	SLC22A9	63369725	63410881	11
ENSG00000261832	ENSG00000261832.6		28456371	28492098	16
ENSG00000165699	ENSG00000165699.17	TSC1	132891348	132946874	9
ENSG00000224383	ENSG00000224383.8	PRR29	63998351	64004305	17
ENSG00000185728	ENSG00000185728.18	YTHDF3	63168553	63212786	8
ENSG00000206282	ENSG00000206282.11	RGL2	4486078	4493745	HSCHR6_MHC_QBL_CTG1
ENSG00000232357	ENSG00000232357.2	HSD17B8	4640595	4642784	HSCHR6_MHC_MCF_CTG1
ENSG00000063244	ENSG00000063244.15	U2AF2	55654146	55674716	19
ENSG00000197272	ENSG00000197272.2	IL27	28499362	28512051	16
ENSG00000170788	ENSG00000170788.15	DYDC1	80336105	80356755	10
ENSG00000231115	ENSG00000231115.3	RING1	4644448	4648675	HSCHR6_MHC_MCF_CTG1
ENSG00000178607	ENSG00000178607.17	ERN1	64039080	64130819	17
ENSG00000164690	ENSG00000164690.8	SHH	155799980	155812463	7
ENSG00000177455	ENSG00000177455.15	CD19	28931965	28939342	16
ENSG00000183060	ENSG00000183060.17	LYSMD4	99715697	99733561	15
ENSG00000038219	ENSG00000038219.14	BOD1L1	13568738	13627725	4
ENSG00000130675	ENSG00000130675.15	MNX1	156994051	157010663	7
ENSG00000224455	ENSG00000224455.9	VPS52	4686254	4708009	HSCHR6_MHC_MCF_CTG1
ENSG00000152464	ENSG00000152464.16	RPP38	15097120	15139818	10
ENSG00000161664	ENSG00000161664.7	ASB16	44170447	44179084	17
ENSG00000106633	ENSG00000106633.18	GCK	44143213	44198170	7
ENSG00000150783	ENSG00000150783.11	TEX12	112167372	112172556	11
ENSG00000138161	ENSG00000138161.15	CUZD1	122832158	122846175	10
ENSG00000131931	ENSG00000131931.9	THAP1	42836674	42843338	8
ENSG00000074410	ENSG00000074410.15	CA12	63321378	63382027	15
ENSG00000110245	ENSG00000110245.13	APOC3	116827019	116833343	11
ENSG00000183979	ENSG00000183979.8	NPB	81900745	81902905	17
ENSG00000184451	ENSG00000184451.5	CCR10	42678889	42683917	17
ENSG00000160973	ENSG00000160973.9	FOXH1	144473412	144475873	8
ENSG00000135426	ENSG00000135426.17	TESPA1	54948015	54989104	12
ENSG00000108797	ENSG00000108797.12	CNTNAP1	42682531	42699993	17
ENSG00000176171	ENSG00000176171.13	BNIP3	131966461	131981984	10
ENSG00000146352	ENSG00000146352.14	CLVS2	122996131	123072925	6
ENSG00000147548	ENSG00000147548.18	NSD3	38269704	38382279	8
ENSG00000169682	ENSG00000169682.18	SPNS1	28974221	28984548	16
ENSG00000111860	ENSG00000111860.15	CEP85L	118460772	118710075	6
ENSG00000196305	ENSG00000196305.20	IARS1	92210207	92293854	9
ENSG00000169740	ENSG00000169740.15	ZNF32	43643859	43649367	10
ENSG00000129455	ENSG00000129455.17	KLK8	50996007	51002711	19
ENSG00000167695	ENSG00000167695.15	TLCD3A	732412	742968	17
ENSG00000138166	ENSG00000138166.7	DUSP5	110497907	110511541	10
ENSG00000109270	ENSG00000109270.14	LAMTOR3	99878336	99894428	4
ENSG00000179409	ENSG00000179409.11	GEMIN4	744421	753999	17
ENSG00000170279	ENSG00000170279.3	C7orf33	148590766	148615860	7
ENSG00000278139	ENSG00000278139.1	P3R3URF-PIK3R3	46043661	46176488	1
ENSG00000215328	ENSG00000215328.6	HSPA1A	3071292	3073774	HSCHR6_MHC_QBL_CTG1
ENSG00000184381	ENSG00000184381.21	PLA2G6	38111495	38214778	22
ENSG00000206342	ENSG00000206342.12	WHR1	3227145	3237417	HSCHR6_MHC_QBL_CTG1
ENSG00000250719	ENSG00000250719.2	P3R3URF	46175486	46176488	1
ENSG00000171357	ENSG00000171357.6	LURAP1	46203334	46221256	1
ENSG00000107937	ENSG00000107937.20	GTPBP4	988418	1019932	10
ENSG00000267618	ENSG00000267618.5		35011349	35121493	17
ENSG00000203685	ENSG00000203685.11	STUM	226548764	226609230	1
ENSG00000284844	ENSG00000284844.3	TOMT	72103506	72110781	11
ENSG00000121690	ENSG00000121690.12	DEPDC7	33015876	33033582	11
ENSG00000244682	ENSG00000244682.8	FCGR2C	161581339	161605662	1
ENSG00000109654	ENSG00000109654.17	TRIM2	153152163	153339319	4
ENSG00000073598	ENSG00000073598.6	FNDC8	35121615	35130732	17
ENSG00000164631	ENSG00000164631.19	ZNF12	6688433	6706947	7
ENSG00000175387	ENSG00000175387.17	SMAD2	47808957	47931569	18
ENSG00000118520	ENSG00000118520.17	ARG1	131470832	131584332	6
ENSG00000226225	ENSG00000226225.6	RPS18	4707972	4712476	HSCHR6_MHC_MCF_CTG1
ENSG00000137815	ENSG00000137815.16	RTF1	41408408	41483563	15
ENSG00000263353	ENSG00000263353.4	PPIAL4A	120889771	120890530	1
ENSG00000288867	ENSG00000288867.1	PPIAL4C	149583848	149584607	1
ENSG00000289549	ENSG00000289549.1	PPIAL4D	145241415	145242174	1
ENSG00000271567	ENSG00000271567.2	PPIAL4E	144372875	144373634	1
ENSG00000279782	ENSG00000279782.3	PPIAL4F	144592893	144593652	1
ENSG00000236334	ENSG00000236334.3	PPIAL4G	148482548	148483302	1
ENSG00000169876	ENSG00000169876.14	MUC17	101020072	101058859	7
ENSG00000270339	ENSG00000270339.4	PPIAL4H	146344006	146344765	1
ENSG00000162413	ENSG00000162413.17	KLHL21	6590724	6614607	1
ENSG00000174684	ENSG00000174684.8	B4GAT1	66345374	66347638	11
ENSG00000158104	ENSG00000158104.12	HPD	121839277	121863596	12
ENSG00000141252	ENSG00000141252.21	VPS53	508503	721717	17
ENSG00000255561	ENSG00000255561.8	FDXACB1	111874056	111881243	11
ENSG00000206460	ENSG00000206460.4	CDSN	2373089	2378448	HSCHR6_MHC_QBL_CTG1
ENSG00000206402	ENSG00000206402.10	LY6G6D	2962721	2973732	HSCHR6_MHC_QBL_CTG1
ENSG00000160472	ENSG00000160472.6	TMEM190	55376816	55378246	19
ENSG00000066336	ENSG00000066336.14	SPI1	47354860	47409369	11
ENSG00000105991	ENSG00000105991.10	HOXA1	27092993	27096000	7
ENSG00000127481	ENSG00000127481.15	UBR4	19074510	19210266	1
ENSG00000236802	ENSG00000236802.4	B3GALT4	4713098	4714791	HSCHR6_MHC_MCF_CTG1
ENSG00000236222	ENSG00000236222.8	WDR46	4715074	4725463	HSCHR6_MHC_MCF_CTG1
ENSG00000180357	ENSG00000180357.11	ZNF609	64460578	64686068	15
ENSG00000278129	ENSG00000278129.3	ZNF8	58278955	58302791	19
ENSG00000206401	ENSG00000206401.11	LY6G6E	2968156	2969632	HSCHR6_MHC_QBL_CTG1
ENSG00000105996	ENSG00000105996.7	HOXA2	27100354	27102686	7
ENSG00000220550	ENSG00000220550.7	OR10C1	704775	706446	HSCHR6_MHC_QBL_CTG1
ENSG00000206427	ENSG00000206427.11	PRRC2A	2876542	2893589	HSCHR6_MHC_QBL_CTG1
ENSG00000106004	ENSG00000106004.5	HOXA5	27141052	27143681	7
ENSG00000142396	ENSG00000142396.12	ERVK3-1	58305347	58316812	19
ENSG00000106006	ENSG00000106006.6	HOXA6	27145396	27150603	7
ENSG00000168070	ENSG00000168070.13	MAJIN	64937517	64972108	11
ENSG00000122592	ENSG00000122592.8	HOXA7	27153716	27157936	7
ENSG00000176490	ENSG00000176490.6	DIRAS1	2714566	2721438	19
ENSG00000078399	ENSG00000078399.19	HOXA9	27162438	27175180	7
ENSG00000140374	ENSG00000140374.18	ETFA	76188555	76311730	15
ENSG00000185008	ENSG00000185008.19	ROBO2	75906695	77649964	3
ENSG00000184232	ENSG00000184232.10	OAF	120211032	120230334	11
ENSG00000005073	ENSG00000005073.6	HOXA11	27181157	27185232	7
ENSG00000178982	ENSG00000178982.11	EIF3K	38619055	38636959	19
ENSG00000106031	ENSG00000106031.9	HOXA13	27193503	27200091	7
ENSG00000235692	ENSG00000235692.8	PFDN6	4725238	4734337	HSCHR6_MHC_MCF_CTG1
ENSG00000095110	ENSG00000095110.10	NXPE1	114518842	114559888	11
ENSG00000106038	ENSG00000106038.13	EVX1	27242700	27250493	7
ENSG00000077800	ENSG00000077800.13	FKBP6	73328161	73358637	7
ENSG00000164296	ENSG00000164296.8	TIGD6	149993118	150000654	5
ENSG00000157111	ENSG00000157111.14	TMEM171	73120569	73131812	5
ENSG00000145247	ENSG00000145247.13	OCIAD2	48885019	48906937	4
ENSG00000102886	ENSG00000102886.15	GDPD3	30104810	30113537	16
ENSG00000166016	ENSG00000166016.7	ABTB2	34150987	34358010	11
ENSG00000228736	ENSG00000228736.9	RGL2	4727590	4735260	HSCHR6_MHC_MCF_CTG1
ENSG00000131013	ENSG00000131013.5	PPIL4	149504495	149546092	6
ENSG00000072786	ENSG00000072786.14	STK10	172042079	172188332	5
ENSG00000118514	ENSG00000118514.15	ALDH8A1	134917298	134950129	6
ENSG00000241253	ENSG00000241253.8	CFB	3201625	3208059	HSCHR6_MHC_QBL_CTG1
ENSG00000180269	ENSG00000180269.8	GPR139	20028239	20073890	16
ENSG00000110169	ENSG00000110169.13	HPX	6431006	6442617	11
ENSG00000274070	ENSG00000274070.2	CASTOR2	74964705	75031528	7
ENSG00000225614	ENSG00000225614.4	ZNF469	88382959	88440757	16
ENSG00000205268	ENSG00000205268.12	PDE7A	65714334	65842529	8
ENSG00000155719	ENSG00000155719.18	OTOA	21663968	21761935	16
ENSG00000188763	ENSG00000188763.5	FZD9	73433778	73436120	7
ENSG00000004846	ENSG00000004846.17	ABCB5	20615667	20777038	7
ENSG00000274750	ENSG00000274750.4	H3C6	26224199	26227473	6
ENSG00000122882	ENSG00000122882.12	ECD	73130155	73169055	10
ENSG00000226979	ENSG00000226979.10	LTA	31572054	31574324	6
ENSG00000163440	ENSG00000163440.13	PDCL2	55556519	55592245	4
ENSG00000145592	ENSG00000145592.15	RPL37	40825262	40835269	5
ENSG00000111875	ENSG00000111875.9	ASF1A	118894152	118909171	6
ENSG00000197894	ENSG00000197894.13	ADH5	99070978	99088801	4
ENSG00000119698	ENSG00000119698.13	PPP4R4	94146128	94279734	14
ENSG00000112514	ENSG00000112514.19	CUTA	33416442	33418381	6
ENSG00000169131	ENSG00000169131.14	ZNF354A	178711512	178732381	5
ENSG00000206346	ENSG00000206346.8	DXO	3225780	3228262	HSCHR6_MHC_QBL_CTG1
ENSG00000206208	ENSG00000206208.11	TAPBP	4735630	4750321	HSCHR6_MHC_MCF_CTG1
ENSG00000211454	ENSG00000211454.16	AKR7L	19265982	19274194	1
ENSG00000175691	ENSG00000175691.10	ZNF77	2933218	2944971	19
ENSG00000172687	ENSG00000172687.15	ZNF738	21358930	21388582	19
ENSG00000128346	ENSG00000128346.12	C22orf23	37943050	37953669	22
ENSG00000116731	ENSG00000116731.23	PRDM2	13700188	13825079	1
ENSG00000105131	ENSG00000105131.9	EPHX3	15226899	15233591	19
ENSG00000197451	ENSG00000197451.13	HNRNPAB	178204479	178211183	5
ENSG00000184220	ENSG00000184220.12	CMSS1	99817837	100181732	3
ENSG00000215522	ENSG00000215522.11	DDR1	2136143	2155326	HSCHR6_MHC_QBL_CTG1
ENSG00000149596	ENSG00000149596.8	JPH2	44106590	44189032	20
ENSG00000221910	ENSG00000221910.3	OR2F2	143935233	143936186	7
ENSG00000285480	ENSG00000285480.2	H2BK1	151207837	151210488	7
ENSG00000175643	ENSG00000175643.10	RMI2	11249619	11381662	16
ENSG00000032219	ENSG00000032219.20	ARID4A	58298504	58373887	14
